name,pos,height,weight,forty_yard,shuttle, vertical_jump,powerball,sparq
Matt Nungesser,CB,5-11.5,183,4.94,4.37,28.7,33.0,70.77
Glenn Russell,RB,6-2,214,4.96,4.72,32.5,32.0,70.74
Terrignon Brown,DL,5-11.5,181,5.03,4.44,27.1,37.0,70.71
Janarius Coleman,RB,5-7.5,181,4.98,4.35,29.3,33.0,70.56
Christian La Sane,WR,5-9,163,4.85,4.43,28.4,35.0,70.50
Zavier Carmichael,LB,5-10.5,203,4.82,4.75,30.9,32.5,70.47
Malcolm Robinson,RB,5-7,168,4.69,4.32,30.2,28.0,70.44
Cornell Armstrong,CB,5-10.5,157,4.63,4.41,32.7,27.5,70.44
Conner Cramer,QB,6-1,170,4.89,4.46,30.6,33.5,70.41
Carlos Richardson,RB,5-6.5,161,4.77,4.58,34.6,31.0,70.38
Sidney Battle,RB,5-11.5,190,4.97,4.66,35.5,31.5,70.35
James Williams,OL,6-2,304,5.55,5.06,23.4,37.0,70.32
Philbert Martial,CB,5-7,157,4.68,4.25,30.4,27.0,70.23
Tre Garland,WR,6-1.5,190,4.79,4.50,31.1,30.0,70.23
Christian Riley,DE,6-3,192,4.80,5.09,35.7,32.0,70.23
Roylonzo Rhodes,CB,5-8.5,134,4.84,4.09,29.0,30.0,70.02
Trahjare Reeder,DL,6-3.5,309,5.77,5.16,24.3,36.5,70.02
Trey Washington,RB,5-8.5,174,4.87,4.53,31.6,33.0,69.99
Paul Pruitt,DB,5-7.5,148,4.95,4.25,35.0,29.5,69.96
Joshua Casher,OL,6-0,280,5.49,4.66,24.0,35.5,69.93
Ehren Faison,WR,5-9,161,4.82,4.57,36.8,30.0,69.93
Anthony Robinson,CB,5-7,150,4.69,4.41,29.0,32.0,69.93
Shaq Barron,RB,5-10,236,4.92,4.93,29.6,33.0,69.90
Nicholas Bickham,DE,6-3.5,225,5.02,4.65,29.4,33.0,69.87
Deric Daughtry,DE,6-2.5,196,4.84,4.93,33.1,33.0,69.81
Ja Qarius Scott,LB,5-9,251,5.10,4.84,29.0,33.0,69.72
Jeffery Williams,S,5-10.5,172,5.04,4.87,35.7,36.0,69.54
Antreal Allen,CB,5-9.5,174,4.81,4.57,28.9,34.5,69.54
Kellan Mark,RB,5-6.5,154,4.77,4.47,34.9,29.5,69.45
Maleek Hall,RB,5-9,168,4.70,4.38,28.6,30.0,69.39
Brandon Phillips,LB,5-11,209,4.86,4.66,29.6,32.0,69.33
Christian Cruz,CB,5-8.5,165,4.82,4.53,30.5,33.5,69.33
Chris Autry,CB,5-10.5,163,4.83,4.41,30.9,31.5,69.18
Kevin Singleton,RB,6-0,181,4.74,4.53,32.8,28.5,69.18
Anfernee Moffett,LB,5-10.5,187,5.05,4.37,25.2,36.0,69.09
Jimmie Maddox,S,5-10,179,4.88,4.53,33.0,31.0,69.06
Telvin Beason,LB,5-8,201,4.70,4.78,28.6,32.0,69.00
Jonte Crenshaw,WR,5-7.5,157,4.85,4.38,34.6,29.0,68.94
Jamavius Curry,RB,5-6.5,168,4.74,4.31,29.3,28.5,68.91
De Vante' Snell,CB,5-6,148,4.68,4.50,32.3,30.5,68.88
Derrick Tolbert,WR,5-10,152,5.09,4.47,34.4,34.5,68.88
Josh Walker,RB,5-10.5,196,4.87,4.50,29.6,31.0,68.85
James Boudreaux,LB,5-8.5,174,4.99,4.32,30.1,31.5,68.82
Aj Barganier,DL,6-.5,243,5.23,4.75,30.1,33.0,68.76
Curderion Hampton,RB,5-6.5,161,4.80,4.25,32.8,26.0,68.76
Marcus Sanders Jr,RB,5-7,161,4.74,4.57,33.6,30.5,68.70
Caleb May,WR,5-5.5,134,4.51,4.38,31.4,26.0,68.70
Cortez Williams,S,5-7.5,179,4.75,4.53,31.9,29.5,68.64
Kyle Peterman,LB,5-9.5,220,5.10,4.45,25.6,34.0,68.58
Ricardo Stokes,LB,5-9.5,201,5.12,4.35,28.1,32.5,68.55
Trevonne Mingo,DB,6-0,161,4.99,4.37,28.9,34.5,68.52
Ronnie Reed,WR,6-.5,179,4.76,4.81,35.4,30.0,68.49
Vincent Lombardo,LB,6-0,214,5.13,4.56,30.0,33.0,68.46
Dylan Tucker,LB,5-11.5,201,5.14,4.35,26.2,34.0,68.40
Jordan Petty,CB,5-9,174,4.86,4.53,30.1,33.0,68.37
Jawon Johnson,DL,6-1,300,5.57,5.44,23.4,38.0,68.22
Richard Thomas,RB,5-11,207,4.86,4.60,28.1,32.0,68.19
Cameron Woods,WR,5-7.5,154,4.80,4.32,33.1,28.0,68.04
Bobby Bradford,WR,5-10,159,4.70,4.44,30.4,30.0,67.95
Selwyn Torbert,DB,6-0,190,4.91,4.47,30.3,31.0,67.95
Reggie Harris,WR,5-9.5,174,4.78,4.59,31.1,31.5,67.92
Taylor Washington,OL,6-1,302,5.65,5.00,24.4,35.0,67.89
Nicholas Walley,S,6-3,179,4.95,4.58,29.6,35.0,67.77
George Williams,S,5-10,187,4.85,4.88,30.0,35.5,67.77
Tony Bridges,CB,5-7.5,150,4.71,4.56,30.6,32.5,67.62
La Darius Young,DE,6-1,214,4.86,4.88,29.3,33.0,67.53
Gary Anderson,WR,5-10.5,183,5.04,4.34,28.8,32.0,67.53
Jonathan Tenner,CB,5-6.5,148,4.90,4.34,30.9,32.0,67.50
Ralph Singleton,RB,5-9,159,4.85,4.41,29.5,32.5,67.44
Sean Ward,RB,5-8,157,4.91,4.56,32.2,34.0,67.35
Devonte Bush,WR,5-5,165,4.82,4.38,33.4,27.5,67.29
Christian Gill,DE,6-3,223,5.12,4.78,29.0,35.0,67.29
Andre Flakes,S,5-7.5,163,4.95,4.41,33.5,30.5,67.29
Dylan Kelly,QB,5-9.5,192,4.94,4.44,28.7,31.5,67.26
Nicholas Haynes,OL,6-2,280,5.37,5.50,24.0,38.5,66.93
Cameron Davis,LB,5-11,196,5.03,4.41,31.8,29.0,66.84
Glenn Irons,WR,5-8,148,4.81,4.25,32.5,27.0,66.81
Malcolm Thomas,CB,5-11,165,4.82,4.60,29.5,34.0,66.78
Benny Mc Call,LB,6-1,220,5.20,4.65,27.0,36.0,66.75
Andrew Mitchell,QB,6-4,207,5.01,4.69,26.9,36.0,66.75
Acesa Brewer,DE,5-10.5,227,5.23,4.82,29.8,35.0,66.75
Decory Mc Gee,CB,5-10,159,4.87,4.35,31.3,30.0,66.63
Eric Farley,RB,5-7,192,4.76,4.85,29.3,33.0,66.51
Ra Heem Pearison,RB,5-8.5,161,4.72,4.57,37.4,24.0,66.33
Michael Calhoun,RB,5-8.5,168,4.56,4.64,29.8,28.5,66.30
