name,pos,height,weight,forty_yard,shuttle, vertical_jump,powerball,sparq
Kristopher Smith,LB,6-1,201,4.89,4.38,34.0,31.5,80.67
Skye Overton,CB,5-10.5,174,4.69,4.33,33.4,30.5,80.67
Derick Johnson,RB,5-9.5,174,4.68,4.37,29.6,34.0,80.64
Tate Rizoti,CB,5-10,161,4.85,4.32,34.9,33.5,80.52
Raymere Thomas,CB,5-10,172,4.82,4.30,31.8,34.0,80.46
Marcus Cox,RB,5-10,183,4.75,4.38,31.6,33.0,80.34
Demetrius Campbell,DB,5-8.5,154,4.84,4.04,29.3,32.5,80.25
Devin Putmon,RB,5-7.5,172,4.72,4.56,31.2,37.0,80.22
Daquan Guice,RB,5-8,187,4.84,4.45,35.6,32.0,80.13
Hector Stanback,S,5-10.5,190,4.90,4.28,33.6,31.0,80.10
Shannon Riley,CB,5-11,159,4.85,4.22,32.6,33.5,80.07
Christopher Dancy,RB,5-10,172,4.75,4.41,35.7,31.0,79.98
Penny Smith,QB,6-.5,159,4.80,4.26,31.1,34.5,79.74
Quinton Pressley,WR,5-11.5,183,4.99,4.35,32.9,35.0,79.71
Zykiesis Cannon,S,5-11,179,4.64,4.43,30.5,32.5,79.50
Trence Blevins,CB,5-10,163,4.77,4.36,35.9,31.0,79.38
Logan Jackson,RB,6-0,198,4.92,4.12,28.4,31.0,79.14
Joseph Durden,S,5-9,165,4.83,4.29,34.1,32.0,79.08
Evan Osborne,LB,5-11.5,205,4.94,4.53,33.0,34.5,79.02
Bernard Dawson,DE,6-.5,231,5.23,4.64,30.8,38.0,78.99
Jacob Tobias,CB,5-9.5,185,4.78,4.33,32.6,30.5,78.75
Andrekay Askew Wyatt,S,6-.5,183,4.79,4.50,32.6,34.0,78.69
Jacob Noorbergen,WR,6-0,163,4.56,4.41,29.9,32.0,78.51
William Scott,TE,6-.5,181,4.84,4.35,32.0,33.0,78.30
Evan Messer,RB,5-7.5,209,4.85,4.44,29.3,33.6,78.15
Jabari Nelson,S,5-10.5,174,4.89,4.19,33.6,30.0,78.06
Chris Holcomb,OL,5-10.5,287,5.62,5.06,28.2,38.0,77.79
Marquise Motley,LB,5-11,207,4.84,4.73,36.2,31.5,77.76
Jomandi Smith,RB,5-9,172,4.80,4.44,33.6,33.0,77.76
Jeremy Bolden,LB,5-11.5,207,4.85,4.36,30.6,31.0,77.67
Jollyce Myrick,RB,5-4.5,161,4.69,4.47,35.7,31.0,77.64
Eric Abernathy,CB,5-8.5,170,4.74,4.71,38.3,32.0,77.64
Caleb Samuel,DE,6-5.5,254,5.08,4.72,29.8,35.0,77.52
Ra Sheed Garmon,DL,5-10,245,5.19,4.57,29.6,35.6,77.28
Nasiir Edwards,S,5-8,185,4.83,4.41,33.5,31.5,77.19
Kyle Coombes,LB,5-9.5,212,5.11,4.31,29.9,33.5,77.04
B.J. Brown,DE,5-10,238,5.18,4.50,25.5,38.0,76.95
Chisom Muruako,LB,6-1,205,4.95,4.41,29.7,34.5,76.95
Levon Lane,CB,5-9,163,4.87,4.22,34.5,30.0,76.89
Todd Wooten,DL,6-1,287,5.48,5.43,24.6,41.0,76.86
Mike Randle,RB,5-7,159,4.80,4.37,32.0,34.0,76.71
Jason Williams,CB,5-7.5,154,4.71,4.23,32.8,29.5,76.65
Rhyan England,WR,5-9.5,181,4.77,4.10,28.6,28.5,76.59
Joshua Burton,DE,6-3,194,4.83,4.55,32.4,33.0,76.20
Hiram Velez,WR,5-7,157,4.91,4.13,35.8,28.0,76.08
Dequeszman Kelley,DL,6-0,280,4.75,5.06,24.9,33.0,76.02
Tyree Harris,WR,6-2,163,4.81,4.22,31.2,31.0,75.99
Chris Robinson,CB,6-0,194,4.83,4.38,32.8,30.0,75.84
Austin Benton,S,5-10.5,172,4.79,4.41,34.7,30.5,75.75
Christopher Herndon,TE,6-4,214,4.86,4.50,27.8,34.5,75.75
Kendarius Webster,CB,5-11,174,4.60,4.66,29.5,34.5,75.72
Jordan Bandy,LB,6-0,209,5.02,4.66,34.0,34.0,75.72
Corey Farrow,LB,5-10.5,172,4.84,4.34,34.8,30.0,75.57
Jalil Kuku,LB,5-9.5,194,4.77,4.33,31.3,29.0,75.48
John Patterson,LB,5-11.5,205,4.91,4.47,31.6,32.0,75.36
Jamal Angrish,LB,5-10,205,4.94,4.15,29.2,28.5,75.30
Dd Wright,RB,5-9.5,190,4.91,4.22,32.1,29.0,75.24
Gerriell Craig,CB,5-9,168,4.83,4.47,34.5,32.5,75.24
Sidarius Gotell,RB,5-7,168,4.70,4.31,29.7,31.0,75.09
Kenneth Ukwu,LB,5-10.5,192,5.22,4.46,34.6,34.5,74.97
Kris Cannon,LB,6-2.5,209,5.03,4.35,28.1,34.0,74.94
Tre Herndon,WR,5-11.5,172,4.73,4.38,32.8,30.0,74.85
