name,pos,height,weight,forty_yard,shuttle, vertical_jump,powerball,sparq
Darius Edwards,DL,5-10.5,357,6.98,6.52,14.2,26.5,36.30
Jacoby Chabliss,QB,5-10.5,172,5.30,4.66,23.6,27.0,36.18
Jervan Etienne,RB,5-8,172,5.24,5.03,26.4,28.0,36.00
Blaine Cantaline,DL,6-2,256,5.53,5.08,17.7,28.5,35.97
Lance Comer,S,5-9,154,5.44,4.62,24.4,28.0,35.97
Miguel Bonilla,CB,5-5,141,5.14,4.78,29.3,25.0,35.97
Brian Burritt,LB,5-10,190,5.27,4.90,24.6,26.5,35.91
Antonio Smith,RB,5-8,168,5.14,4.81,24.0,27.0,35.88
Jaquez Oliver,WR,6-.5,172,5.25,4.94,25.7,28.0,35.82
Adam Zellars,WR,5-10,141,5.00,5.03,25.7,28.0,35.82
Davaris Dixon,CB,5-6,146,5.14,5.03,24.6,30.0,35.76
Hunter Green,CB,5-11,126,5.24,4.62,25.0,27.5,35.73
Bart Bell,QB,5-11,181,5.15,4.94,26.3,24.5,35.67
La Darrius Thomas,CB,5-9,143,5.09,5.25,28.1,29.0,35.67
Kenyon Johnson,LB,5-7.5,185,5.69,5.31,24.0,32.0,35.55
Collin Pierce,TE,5-9,172,5.42,5.06,21.2,32.0,35.52
Jeffrey Campbell,LB,5-6,179,5.32,4.83,26.8,25.0,35.46
Robby Mercier,DL,6-0,256,5.68,5.38,17.9,30.0,35.46
Eugene Glover,RB,5-5,161,5.38,4.75,23.7,29.0,35.46
Devon Cooper,OL,6-2,243,5.84,5.40,22.9,28.0,35.43
Justin Howell,DE,6-1,172,5.24,4.99,22.0,30.0,35.37
Le Andre Fox,CB,5-8.5,141,5.29,4.53,24.9,25.0,35.31
Dalton Couey,OL,5-9,231,5.82,5.03,23.1,27.0,35.22
Derrick Hudnell,DL,5-8,287,5.92,5.38,19.3,25.0,35.07
Darius Williams,RB,5-8,152,5.07,4.66,25.4,22.5,34.95
Scott Baker,P/K,5-11,183,5.81,5.09,23.1,32.0,34.89
Delroy Baker,OL,6-5,254,5.94,5.25,19.6,29.0,34.86
Mitchell Wolk,WR,6-0,161,5.08,4.96,25.1,26.5,34.68
Breon Jones,CB,5-8,137,5.03,4.65,24.6,23.0,34.50
Tavares Hardy,CB,5-6,150,5.28,5.03,29.8,27.0,34.47
Tavarus Jones,DL,5-11,207,5.26,5.44,23.3,28.0,34.44
Janaro Jackson,LB,6-0,203,5.65,5.10,22.6,30.0,34.44
Yvel Moise,LB,5-10,216,5.58,5.00,23.9,26.0,34.26
Stephen Ruiz,DE,5-11,201,5.50,4.91,21.9,28.5,34.20
Eric Goll,DL,6-0,284,6.02,5.47,17.3,28.0,34.20
Robert Pinkney,LB,5-9.5,196,5.36,5.28,22.0,30.0,34.14
Kaytreon Gillespie,RB,5-6.5,209,5.57,5.03,22.3,28.5,34.02
Amaury Decastro,OL,5-7,227,5.40,5.34,21.0,28.0,34.02
Darian Degeorge,RB,5-1,117,5.05,4.68,29.1,22.0,33.93
Tyrell Garmon,DL,6-1,284,6.37,5.56,18.1,28.5,33.93
Cody Brooks,QB,6-0,163,5.25,4.81,22.2,28.0,33.87
Chase Caruthers,DE,5-10,152,5.07,4.75,25.7,23.0,33.87
Brian Nieves,CB,5-5,132,5.13,4.78,26.4,26.0,33.78
Daishaun Grimes,WR,6-1,168,5.20,4.90,27.0,24.0,33.69
Antonio Clark,DL,6-2,262,6.32,5.19,21.2,26.0,33.66
Michael Tergesen,DL,5-7,209,5.60,5.09,20.7,30.0,33.60
Rashad Youmans,QB,6-1.5,163,5.21,4.91,25.0,27.0,33.57
Trevor Wallace,WR,5-6,137,5.18,4.66,24.0,25.5,33.48
Bradley Manning,DL,6-1,201,5.35,4.85,21.1,27.0,33.42
Levi Workman,CB,6-.5,152,5.15,4.75,24.2,25.0,33.27
Brandon Dubatowka,CB,5-7.5,143,5.26,4.81,26.5,27.0,33.15
James Forbes,OL,5-9,247,5.92,5.19,20.1,28.0,33.09
Elisha Lee,DE,6-1.5,218,5.48,4.91,20.7,26.5,33.06
Darion Andre,CB,5-11,172,5.25,4.78,23.6,25.5,33.03
Antoine Griffin,WR,5-8,134,5.13,4.75,27.1,24.0,32.97
Ryan Henson,WR,5-11,163,5.43,4.88,23.6,29.0,32.91
Javante Callaway,LB,5-6,161,5.17,4.93,26.3,25.0,32.85
Cesar Estrada,WR,5-8,152,5.36,4.79,24.0,28.0,32.85
Brandon Dillard,OL,6-1,326,6.72,6.12,12.5,29.5,32.73
Slater Williams,WR,6-1,159,5.27,4.87,21.7,28.5,32.61
D'andrae Lott,LB,5-6,185,5.28,4.97,23.4,26.5,32.58
Brian Loiseau,DL,6-0,227,5.70,5.19,20.6,28.5,32.55
Keith Ramsey,WR,5-8,148,5.48,5.03,24.8,30.5,32.52
Nick Valentin,DL,5-11,251,5.83,5.81,20.0,29.0,32.52
Trevin Walker,RB,5-7,161,5.15,4.85,23.0,26.0,32.52
Rickey Mcduffie,WR,5-7,139,5.32,4.63,23.8,26.0,32.49
Jaime Miranda,RB,5-7,161,5.16,4.97,23.1,27.5,32.46
Joshua Wilson,DE,5-8.5,190,5.61,4.63,19.6,27.0,32.46
Dawit Demoz,DL,5-9,251,5.91,5.25,19.7,27.5,32.34
Ryan McVay,QB,5-8,137,5.49,4.59,25.0,26.0,32.25
Michael Barulich,WR,5-9,161,5.60,4.72,22.1,28.5,32.25
Demaurius Mcmillian,LB,5-7,207,5.65,5.25,26.0,25.6,32.25
Anthony Gardner,WR,5-7,130,5.13,4.81,27.0,25.0,32.25
Malik Williams,WR,5-8,150,5.21,5.00,26.0,27.5,32.22
